time_positive;time_negative;time_total;len_T
3243860.67;3220322.57;3243142.54;5000
3925478.7;3929217.34;3934053.13;6000
4585273.5;4579751.77;4599348.44;7000
5097325.78;5134908.87;5116270.24;8000
5763459.5;5916251.79;5874901.22;9000
6512755.12;6440674.57;6477945.1;10000
