num_queries_positive;num_queries_negative;num_queries_total;max_V_match_fraction
3;3;3;0.0
5438.16;5441.72;5441.82;0.1
8095.04;8095.39;8098.18;0.2
9707.29;9711;9717.65;0.3
10602.76;10595.04;10596.6;0.4
10888.12;10873.38;10886.22;0.5
10597.11;10610.01;10599.19;0.6
