num_queries_positive;num_queries_negative;num_queries_total;max_V_match_fraction
3;3;3;0.0
2555.69;2554.18;2554.11;0.1
3811.37;3799.39;3809;0.2
4571.52;4569.6;4572.41;0.3
4990.3;4987.34;4992.12;0.4
5123.11;5124.66;5128.97;0.5
4993.85;4994.17;4989.06;0.6
4564.34;4567.43;4566.99;0.7
3803.61;3802.68;3810.81;0.8
2550.09;2553.05;2556.67;0.9
3;3;3;1.0
