num_queries_positive;num_queries_negative;num_queries_total;max_V_match_fraction
3;3;3;0.0
4043.75;4044.95;4048.08;0.1
6035.69;6039.46;6036.74;0.2
7265.98;7254.61;7251.28;0.3
7934.09;7928.22;7932.51;0.4
8140.71;8148.38;8134.58;0.5
7929.78;7923.29;7930.36;0.6
7258.07;7263.38;7263.56;0.7
6035.43;6044.71;6033.15;0.8
4038.46;4040.34;4047.1;0.9
