Baseline;RecordEnumeration;Snake;max_V_match_fraction
96953545.16;836937024.2;182215836.18;0.0
98922371.42;846795290.94;193106448.26;0.1
99830914.66;851217916.9;193755318.96;0.2
102063301.46;862252909.22;198225073.58;0.3
101958894.48;856441799.44;195681731.88;0.4
106362797.9;854177445.3;199983726.64;0.5
105459194.78;854175011.24;203977131.8;0.6
111356436.16;874589853.86;204792092.1;0.7
111417335.82;866579890.88;207033287.82;0.8
112211065.36;881839956.62;214273585.06;0.9
110439940.22;857301600.8;198140020.66;1.0
