Baseline;RecordEnumeration;Snake;max_V_match_fraction
75460691.56;613826899.84;132158178.82;0.0
78683903.82;626896902.12;142557382.02;0.1
80645253.08;630041708.18;156268503.54;0.2
81658068.64;631850278.06;146989031.22;0.3
82562150.08;633857656.54;145498298.68;0.4
83651687.06;635893948.9;161106769.28;0.5
83303851;630345520.86;145873681.08;0.6
85711386.56;635181456.48;149753797.1;0.7
84981549.02;646008780.28;152930356.16;0.8
88956373.36;639927924.02;159323018.26;0.9
85353958.36;624617252.94;144084955.84;1.0
