Baseline;RecordEnumeration;Snake;max_V_match_fraction
91410299.58;778280263.54;169359883.5;0.0
94096185.92;795560882.52;183971515.86;0.1
96901331.14;791908681.7;183228225.34;0.2
97348930.38;800303247.52;184328272.94;0.3
97801050.06;797557834.52;183804626.36;0.4
99723822.12;800546291.2;188445582.3;0.5
101267806.1;798879230.52;191019286.44;0.6
105126418.7;803873889.14;191698327.88;0.7
104755035.08;815347938.86;197560353.9;0.8
107683874.06;817479030.16;200026954.74;0.9
103700678.06;802882861.8;186174839.46;1.0
