time_positive;time_negative;time_total;max_V_match_fraction
3229107.17;3275288.75;3252866.58;0.0
21192241.36;21412641.48;24270981.01;0.1
31044354.07;31052064.84;35676111.43;0.2
37550016.24;36733669.36;42560427.25;0.3
40209449.82;40175909.27;46970760.07;0.4
40494345.48;41731185.74;48217653.08;0.5
39002616.07;41211037.81;46426347.04;0.6
36011580.73;38122638.62;42276792.23;0.7
30107810.44;31603786.22;35357224.83;0.8
21258998;22227332.08;25019423.94;0.9
3243860.67;3220322.57;3243142.54;1.0
