time_total;time_positive;time_negative;max_V_match_fraction
1217511.66;1202874.68;1197445.3;0.0
41343086.94;70954482.52;41098560.44;0.1
63751605.44;95180812.28;66170436.42;0.2
76983698.22;105185039.98;82503452.16;0.3
85725822.04;107138385.48;96239873.62;0.4
88607731.84;104092703.72;105516041.46;0.5
86256958.04;95405706.1;108363898.86;0.6
