time_total;time_positive;time_negative;max_V_match_fraction
923771.02;908694.5;907114.18;0.0
28648165.24;49514120.3;28033057.62;0.1
45269121.44;66914812.72;44928770.44;0.2
56576426.16;74518389.1;58283360.24;0.3
63714035.66;76770191.4;68358710.18;0.4
65906016.82;73243911.68;75269175.68;0.5
63289305.98;67423573.46;77171097.54;0.6
56587312.78;57855717.96;74717546.74;0.7
44039804.74;43630142.18;65378597.56;0.8
25861052.62;24985230.16;45284388.48;0.9
