PSU;max_V_match_fraction
220739915.765;0.0
256372565.93;0.1
285287052.06;0.2
286775668.935;0.3
289630577.655;0.4
295379474.1;0.5
294222958.175;0.6
288175387.28;0.7
311690861.045;0.8
278743436.595;0.9
261288987.43;1.0
