queries_positive;queries_negative;queries_total;len_T
3682.63;3681.32;3680.39;5000
4470.62;4466.73;4462.71;6000
5123.11;5124.66;5128.97;7000
5752.93;5757.4;5755.17;8000
6548.2;6534.05;6535.29;9000
7351.78;7359.11;7356.54;10000
8140.71;8148.38;8134.58;11000
8942.48;8918.47;8931.75;12000
9605.55;9610.72;9611.4;13000
10252.45;10250.71;10239.06;14000
10888.12;10873.38;10886.22;15000
