queries_positive;queries_negative;queries_total;len_T
3279.67;3277.97;3275.49;5000
3977.02;3979.54;3971.99;6000
4571.52;4569.6;4572.41;7000
5141.54;5138.74;5148.16;8000
5834.55;5830.67;5837.38;9000
6551.88;6557;6554.15;10000
7265.98;7254.61;7251.28;11000
7949.01;7942.82;7934.33;12000
8551.27;8546.85;8561.22;13000
9134.47;9127.23;9132.27;14000
9707.29;9711;9717.65;15000
