PSU;len_T
4059810.32;5000
4934621.43;6000
6260031.54;7000
7947453.38;8000
5705633.03;9000
6086452.36;10000
6350550.76;11000
7259670.62;12000
7782754.6;13000
8203208.29;14000
8313325.83;15000
