PSU;len_T
4128567.53;5000
5676730.59;6000
7596841.16;7000
6153582.56;8000
5941349.1;9000
6930671.11;10000
6362231.53;11000
6930214.79;12000
7446945.17;13000
7852439.96;14000
8881845.6;15000
