queries_total;queries_positive;queries_negative;len_T
3289.52;3288.3;3291.6;5000
3987.82;3977.7;3978.44;6000
4586.16;4589.56;4577.72;7000
5147.9;5158.66;5152.46;8000
5836.42;5845.84;5842.22;9000
6567.12;6561.7;6566.28;10000
7260.16;7280.2;7270.8;11000
7946.7;7952.06;7942.5;12000
8561.54;8565.5;8554.92;13000
9162.32;9152.4;9147.34;14000
9718.48;9728.52;9713;15000
