queries_total;queries_positive;queries_negative;len_T
2734.52;2733.08;2732.8;5000
3303.22;3305.18;3313.08;6000
3835.16;3843.68;3840.26;7000
4307.04;4299.92;4289.78;8000
4875.16;4871.08;4880.06;9000
5470.9;5469.28;5478.22;10000
6049.94;6053.18;6042.92;11000
6602.1;6621.68;6604.26;12000
7119.54;7121.28;7124.92;13000
7629.08;7638.38;7628.1;14000
8092.8;8116.14;8111.32;15000
