queries_total;queries_positive;queries_negative;len_T
3688.32;3682.88;3688.54;5000
4465.58;4463.18;4477.14;6000
5138.96;5141.74;5128.2;7000
5757.4;5775.24;5773.46;8000
6542.38;6540.64;6554.46;9000
7363.76;7364.92;7365.46;10000
8163.9;8148.46;8162.2;11000
8931.54;8935.48;8948.16;12000
9613.32;9624.16;9611.78;13000
10262.1;10281.76;10260.48;14000
10897.42;10888.52;10889.66;15000
