queries_total;queries_positive;queries_negative;len_T
3588.3;3590.96;3589.64;5000
4365.12;4355.04;4361.5;6000
5017.9;5005.1;5003.72;7000
5608.1;5618.02;5630.12;8000
6376.72;6371.26;6377.52;9000
7159.74;7168.96;7166.9;10000
7934.7;7938.1;7921.26;11000
8686.22;8695.24;8700.44;12000
9356.48;9351.42;9356.48;13000
9992.38;9979.38;9975.8;14000
10610.88;10601.22;10600.14;15000
