queries_total;queries_positive;queries_negative;len_T
3287.62;3278.68;3288.88;5000
3991.1;3978.78;3995.48;6000
4572.78;4582.28;4581.02;7000
5146.28;5146.04;5154.68;8000
5842.84;5836.56;5841.54;9000
6553.96;6565.16;6556.68;10000
7277.32;7276.34;7274.32;11000
7942.14;7945.22;7937.9;12000
8576.96;8564.88;8574.8;13000
9137.26;9143.8;9139.7;14000
9700.86;9721.16;9716.02;15000
