queries_total;queries_positive;queries_negative;len_T
2750.68;2761.66;2749.86;5000
3304.32;3295.14;3308.6;6000
3809.54;3807.4;3798.82;7000
4294.78;4299.2;4291.72;8000
4879.26;4880.64;4880.56;9000
5472.82;5473.46;5475.38;10000
6042.24;6057.54;6033.84;11000
6617.52;6624.06;6617.86;12000
7113.26;7113.86;7116.22;13000
7606.32;7617.42;7632.52;14000
8106.24;8110.9;8101.42;15000
