time_total;time_positive;time_negative;len_T
42924419060.78;42766542124.3;43384664676.92;5000
51127079100.12;50859917455.3;52311084668.92;6000
60080108529.8;59557560402.1;60071959313.84;7000
67428225563.84;67187877924.68;68247301383.28;8000
77936926833.54;77415395751.28;78302146112.02;9000
89611121763.72;88673262652.86;80245188585.78;10000
98150494914.58;97059088189.04;80331630956.42;11000
107973844487.72;107298913350.16;89747528422.8;12000
114536724934.7;113234492551.42;99260216696.34;13000
123864555849.74;123124386829.94;113473257686.38;14000
130415909410.18;129553915590.96;127029290428.5;15000
