time_total;time_positive;time_negative;len_T
42543278416.36;42286592343.72;42664026177.9;5000
51381994169.6;51222980401.34;52378197488.94;6000
60522632859.7;60208939238.48;60874470700.28;7000
68492918223.16;67713435867.28;69103123628.38;8000
77200914996.46;76905708752.26;77981610134.64;9000
86717263868.8;86089995045.88;88022070683.68;10000
100357238765.72;100423805752.56;83884802723;11000
108476777532.32;108377374928.98;89501576644.8;12000
116708093016.38;116219010766.38;99266322444.36;13000
125245807441.22;124771784804.48;113744781108.56;14000
131916302070.4;131021033375.9;127853634063.44;15000
