Baseline;RecordEnumeration;Snake;max_V_match_fraction
45746846.56;325823176.64;78248027.74;0.0
45029647.02;319563210.28;75037387.86;0.1
45589416.34;320606639.14;76441310.7;0.2
47043070.82;318269561.04;77458050.54;0.3
47216290.66;323860750.84;77296547.84;0.4
47650636.12;324317738.84;78985856.12;0.5
49168911.08;323897700.8;79260025.94;0.6
48482616.98;325595145.84;80254025.78;0.7
49346989.94;326473599.52;81664585.36;0.8
51219326.66;326823129.72;82763469.54;0.9
52706059.72;336611254.8;86187011.18;1.0
