num_queries_positive;num_queries_negative;num_queries_total;max_V_match_fraction
3;3;3;0.0
4416.69;4413.69;4417.27;0.1
6604.09;6605.34;6597.82;0.2
7949.01;7942.82;7934.33;0.3
8688.24;8693.6;8680.72;0.4
8942.48;8918.47;8931.75;0.5
8685.51;8694.69;8687.63;0.6
7964.69;7927.01;7945.52;0.7
6590.83;6603.95;6596.62;0.8
