num_queries_positive;num_queries_negative;num_queries_total;max_V_match_fraction
3;3;3;0.0
3663.72;3662.66;3662.93;0.1
5465.38;5460.73;5458.97;0.2
6551.88;6557;6554.15;0.3
7165.45;7162.65;7172.05;0.4
7351.78;7359.11;7356.54;0.5
7161.11;7159.92;7168.82;0.6
6559.44;6556.74;6561.96;0.7
5459.87;5459.5;5464.69;0.8
3666.99;3655.95;3655.53;0.9
3;3;3;1.0
