PSU;max_V_match_fraction
239661207.51;0.0
316526565.34;0.1
321829870.99;0.2
289672606;0.3
306487948.8;0.4
507667876.82;0.5
517165848.47;0.6
770314825.99;0.7
332779475.37;0.8
496770811.23;0.9
440473583.25;1.0
