time_total;time_positive;time_negative;len_T
55419514820.36;55032357498.92;57142773390.92;5000
67006002892.02;67194300561.32;70487658894.76;6000
78112607315.98;77633769544.4;79931225096.54;7000
88076262772.02;88183515816.42;90719898068.52;8000
102323814610.02;101390309736.32;104240071411.12;9000
117041502161.72;116689500673.62;113905858359.12;10000
129606746205.92;128628020658.02;119269389247.86;11000
141517056940.1;139782004358.54;127755545885.24;12000
154354307163.16;150817635159.86;134623855138.16;13000
163034083389.34;160419743817.18;138260572130.16;14000
173522262554.16;170096037607.68;147378235744.68;15000
