pos0.6_total;neg0.6_total;tot0.6_total;pos0.6_positive;neg0.6_positive;tot0.6_positive;pos0.6_negative;neg0.6_negative;tot0.6_negative;pos0.7_total;neg0.7_total;tot0.7_total;pos0.7_positive;neg0.7_positive;tot0.7_positive;pos0.7_negative;neg0.7_negative;tot0.7_negative;pos0.8_total;neg0.8_total;tot0.8_total;pos0.8_positive;neg0.8_positive;tot0.8_positive;pos0.8_negative;neg0.8_negative;tot0.8_negative;pos0.9_total;neg0.9_total;tot0.9_total;pos0.9_positive;neg0.9_positive;tot0.9_positive;pos0.9_negative;neg0.9_negative;tot0.9_negative;pos0.1_total;neg0.1_total;tot0.1_total;pos0.1_positive;neg0.1_positive;tot0.1_positive;pos0.1_negative;neg0.1_negative;tot0.1_negative;pos0.2_total;neg0.2_total;tot0.2_total;pos0.2_positive;neg0.2_positive;tot0.2_positive;pos0.2_negative;neg0.2_negative;tot0.2_negative;pos0.3_total;neg0.3_total;tot0.3_total;pos0.3_positive;neg0.3_positive;tot0.3_positive;pos0.3_negative;neg0.3_negative;tot0.3_negative;pos0.4_total;neg0.4_total;tot0.4_total;pos0.4_positive;neg0.4_positive;tot0.4_positive;pos0.4_negative;neg0.4_negative;tot0.4_negative;pos0.5_total;neg0.5_total;tot0.5_total;pos0.5_positive;neg0.5_positive;tot0.5_positive;pos0.5_negative;neg0.5_negative;tot0.5_negative;pos0.0_total;neg0.0_total;tot0.0_total;pos0.0_positive;neg0.0_positive;tot0.0_positive;pos0.0_negative;neg0.0_negative;tot0.0_negative;pos1.0_total;neg1.0_total;tot1.0_total;pos1.0_positive;neg1.0_positive;tot1.0_positive;pos1.0_negative;neg1.0_negative;tot1.0_negative;query_budget
0.13555783009211872;0.14048296831622087;0.13833262990640283;0.15300807460479926;0.21433217291675846;0.18755778445343727;0.2135573751848061;0.19709690212840963;0.20428362173837483;0.1786875060673721;0.21809008644659017;0.19798826238763836;0.18159984467527424;0.23885142308275617;0.20964366193695366;0.2251218328317639;0.22521611647540568;0.2251680162444593;0.21088398261017816;0.26180676500207334;0.23219195399449719;0.20888926775210978;0.27475860434808363;0.23645142899635624;0.27770948768220954;0.2903619453823826;0.2830037429045931;0.31329574693506884;0.39466312311449503;0.3413700123915737;0.3108044498259422;0.3995877029162477;0.3414374225526642;0.4103715756016346;0.46379974141646313;0.42880594795539034;0.2480136752136752;0.35262704611105167;0.3450365886934736;0.28687179487179487;0.44912324810099497;0.43735073053357476;0.3794119658119658;0.3377099604151064;0.34073574281249225;0.19148331907613345;0.23332907013923204;0.22725203736831645;0.19617108639863132;0.29992907595267854;0.28486086265156035;0.2635414884516681;0.23302735226579077;0.23745875571456967;0.17551228348239556;0.19626372231740594;0.19172114693563977;0.15949733952224612;0.24405990227806332;0.22554880919927636;0.22313596739499603;0.20431309093216574;0.20843349607196848;0.11172378429194085;0.15283486046023642;0.14089688546966125;0.16028886419964106;0.2220612715954396;0.20412358853455764;0.20419451328946245;0.18644610757501573;0.19159995036605038;0.1042277979079784;0.12249639530805502;0.11586378077839556;0.15126683530457374;0.213972955068002;0.19120681096108022;0.20247760989950092;0.18170453216944002;0.1892464257347101;1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1100
0.26773228704651425;0.3032679680958886;0.28775292335956704;0.29939611054247695;0.40853831578019656;0.3608863179324214;0.40370067098828616;0.37755607456043716;0.38897092777874326;0.3473953985049995;0.41605884434558416;0.3810291459277419;0.35076885739248614;0.4487457661392245;0.39876135997820866;0.4241102805552859;0.4221778474293514;0.423163707500681;0.4055570710084392;0.4931319234642497;0.4422016210990754;0.40158809990623134;0.5131402168118002;0.4482656222888729;0.5138666780325633;0.536183875362834;0.5232050169794016;0.5844316633873164;0.7008360867691423;0.6245947955390334;0.5802815196004238;0.707695733371642;0.6242433705080546;0.7089912214318147;0.771561557247522;0.7305799256505576;0.45684786324786325;0.6691253878249706;0.6537231166125071;0.5452444444444444;0.7701337327484754;0.7538163867734974;0.6764444444444444;0.6274243072643629;0.6309810731029692;0.3654747647562019;0.4584228119640729;0.4449244682965613;0.38493413173652696;0.553583699096009;0.5290916318823295;0.4954935842600513;0.4518896607853966;0.4582220234545816;0.3382950300011321;0.37747382448124883;0.3688974250947932;0.3118555417185554;0.45947522050891554;0.42716066516319295;0.42466659119212047;0.3887194618947903;0.39658843646997594;0.2431792154516708;0.31812897810729523;0.29636480952971833;0.3131715238013845;0.42112191368818636;0.3897749100384663;0.39042816853260404;0.35901098132475345;0.36813401166397813;0.23632733985096055;0.26815946377771716;0.2566024622716442;0.29620838175975933;0.4067448657495811;0.36661338363780777;0.3901551924523142;0.35811153111725963;0.36974533359809375;1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2200
0.3988183782554305;0.4386216013748733;0.421243327788674;0.43971909473444787;0.5814524302648394;0.5195709923285087;0.5707414989195951;0.544875512272507;0.556168723155987;0.5025890690224251;0.5872311814367323;0.5440497238937176;0.5075555771284341;0.6291158182093929;0.5671000173340267;0.5922192020192214;0.5918649208836763;0.5920456627788921;0.580135538317279;0.6857828327705705;0.624342265076965;0.5750737362543688;0.7105503228481725;0.63176213965248;0.704446338760549;0.7279308097861501;0.7142731080980591;0.8538179203874678;0.9280577503232295;0.8794329615861214;0.8440298168609051;0.9324852751041517;0.8745496902106568;0.9136309974269714;0.9410429535986209;0.9230889714993804;0.6274529914529915;0.9197582111907564;0.898549351325875;0.784574358974359;0.9463325131058093;0.9345957879592192;0.898208547008547;0.871116400984273;0.8730821323146379;0.5207630453378956;0.6609940993518008;0.640629099582588;0.5596167664670658;0.7517018864633899;0.7238064003180282;0.6876270316509837;0.6472005348370782;0.6530714569668058;0.4836544775274539;0.5417139412399264;0.529004485638522;0.45610777765198685;0.6398857795545403;0.5996560184382047;0.5988475036793841;0.5540579986039723;0.563862605635548;0.34996666951542604;0.4629677554731762;0.4301541134135749;0.45856080676865224;0.5951689165559209;0.5555001861273111;0.5532228014699598;0.5214422606141148;0.5306708028291351;0.35673617283106585;0.40366704337321224;0.3866282764098491;0.44214671497914815;0.5768715170881883;0.5279582009531374;0.5495877486839407;0.5224535287011418;0.5323049046862589;1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3300
0.5328716024110087;0.5716626272418808;0.5547262841679287;0.5708643238940065;0.7251742828184903;0.6578018322202637;0.712219947685659;0.6797840743841713;0.6939457285434097;0.6468003106494515;0.7296749405995653;0.6873951910457371;0.6472206581885254;0.7749800313432081;0.7098016492088255;0.7379341811474615;0.7312987209948941;0.73468390164178;0.7477495524678203;0.8399466856228897;0.7863282353816028;0.736522888074333;0.8621586398910017;0.7890935230399326;0.8533833432784929;0.8646430898643446;0.8580948367746574;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.647808383233533;0.8360020928407407;0.8086717352415027;0.716393498716852;0.8915588756794466;0.866120552574041;0.8400410607356715;0.809758451297852;0.8141562313655337;0.6056560624929243;0.6910889015800495;0.6723873014299522;0.5887037246688555;0.7801554667174313;0.7382458922951104;0.7441865730782293;0.6971578145821435;0.7074526034051201;0.4621058029228271;0.6073092257116878;0.5651445588782728;0.5910315357661738;0.7380912079457229;0.6953875170616702;0.6936159302623708;0.660975029726516;0.6704534061297928;0.4832720311752239;0.5692529519504306;0.5380366362192216;0.5720776645928762;0.7187490744709871;0.6654984114376489;0.6907185342175429;0.6590662873621449;0.6705579825258141;1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4400
0.6806744000909815;0.7659295818093685;0.7287067702773157;0.6888035937677698;0.8396307231304808;0.7737788922267186;0.8287490048902536;0.7933732869166703;0.8088184910251;0.7911154256868265;0.8501380112228907;0.8200267439268999;0.7820900883409377;0.8900338708862039;0.8349647128742292;0.8823871468789438;0.8595065972397755;0.8711794567020776;0.9314593811269286;0.9552716071322789;0.9414232952432888;0.9213903333049186;0.9744588590723299;0.9435961629031059;0.9601363907595261;0.9602997452757538;0.9602047443174776;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8343781009409752;0.9772990727552829;0.9565434307294772;0.9021522668947819;0.9756649129436387;0.9649890677797655;0.9585560307955517;0.9391622823590966;0.9419787318624528;0.7085090003396355;0.8338619201725997;0.8064216500210651;0.7782089890184535;0.8962694333396789;0.8704255160962554;0.866799501867995;0.8271152991941113;0.835802334514634;0.6526262712588667;0.7711247114779324;0.7367147288745501;0.713022818562516;0.852015108064629;0.8116540513711379;0.8098094179984616;0.7811387004266629;0.7894642015138355;0.6145498051548506;0.7225104243794085;0.6833141382049246;0.6901428864428796;0.8332948832859203;0.781321981731533;0.80924181308539;0.7770803943727836;0.7887569499602859;1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5500
0.855308768338451;0.8858493808663465;0.872515206435115;0.8168099624701467;0.9292874454677654;0.8801792497331116;0.9228988968497669;0.8877724408407879;0.9031088160083418;0.9216784778176876;0.9386613416915222;0.9299972760815195;0.9085981943500631;0.9697366159445933;0.9385459227892925;0.9665498495291719;0.9492260249734594;0.9580640368471882;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8637676893467678;0.9679871819277873;0.9451731059948948;0.90749009396581;0.9712088330477823;0.9572605387722734;0.9583629570927205;0.9366025763056032;0.9413660132338728;0.8034868814631229;0.8974568091207946;0.8701694999379576;0.8326057601914366;0.9359613905015038;0.9059486288621417;0.9100709341081958;0.8888773868643771;0.8950316416428837;0.8120010938675053;0.8685429250613772;0.8480147934868943;0.8058193751281876;0.9201971863918008;0.8786710683081811;0.9031489710808779;0.8751934842757492;0.8853430301826847;1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;6600
0.9766166268622768;0.989032741373992;0.9836118076416992;0.9698578414648016;0.992878861322875;0.9828277762605825;0.9888945752302968;0.9833358304322919;0.9857628044390377;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9624955132039996;0.9919808351402392;0.9834187864499317;0.9534997008802667;0.9925375952997132;0.9812016379203375;0.9894402187847192;0.9790907183325173;0.9820960416925176;0.9471798728379025;0.9762347531273138;0.9656860603653693;0.9230382169959663;0.983409843731733;0.9614912629070691;0.9747931906747795;0.9667542184638167;0.969672855440826;1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7700
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;8800
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;9900
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;11000
