PSU;max_V_match_fraction
220504628.53;0.0
256453088.26;0.1
283724106.435;0.2
285336132.085;0.3
288830361.175;0.4
294886813.35;0.5
289299167.365;0.6
286202252.34;0.7
310411918.085;0.8
276784317.015;0.9
258427904.205;1.0
