time_positive;time_negative;time_total;len_T
40209449.82;40175909.27;46970760.07;5000
49683542.46;50314492.56;57276271.06;6000
57725679.94;57574564.17;66447908.38;7000
66586334.01;64397896.34;76194888.22;8000
74894004.26;73627121.98;84639790.32;9000
84365487.35;83965514.07;97460345.04;10000
92498049.35;93172636.51;107317418.24;11000
100619755.56;103580240.74;118295610.4;12000
108115390.65;109715951.02;126277666.05;13000
118759926.42;117079419.78;134187349.11;14000
129249672.27;126502341.03;146866526.07;15000
