time_positive;time_negative;time_total;len_T
21258998;22227332.08;25019423.94;5000
25805478.42;26638740.41;29670026.1;6000
30285103.85;31206841.31;34775977.48;7000
33872941.68;35473794.71;39541718.21;8000
37910554.57;39728574.46;44368968.62;9000
42893607.61;44510986.04;50427745.14;10000
48727167.66;50365098.57;56955927.68;11000
