time_positive;time_negative;time_total;len_T
3229107.17;3275288.75;3252866.58;5000
3959989.53;3910358.75;3971475.71;6000
4596449.06;4519675.23;4493086.24;7000
5125025.09;5103174.95;5195823.55;8000
5869161.13;5885100.82;5876045.21;9000
6598306.84;6631124.03;6628716.9;10000
7102440.98;7206780.09;7114335.49;11000
7711606.67;7800710.74;7648055.09;12000
8408808.44;8426074.41;8373179.93;13000
8939530.31;8967873.3;8934733.33;14000
9595620.15;9665703.28;9581674.59;15000
