time_positive;time_negative;time_total;len_T
40494345.48;41731185.74;48217653.08;5000
50333313.8;50970711.73;58898520.77;6000
57889663.92;59658386.14;68843565.64;7000
65262411.78;66591631.8;78707651.94;8000
73355873.5;74468167.32;86775985.95;9000
83820518.77;85960620.72;98007495.06;10000
92452915.33;93476001.48;108670166.18;11000
102573829.43;104106712.4;121981180.7;12000
112693971.11;113307116.68;132000125.2;13000
118629175.92;121301128.92;139129732.1;14000
128130729.82;128814083.68;149397088.14;15000
