queries_positive;queries_negative;queries_total;len_T
1829.08;1830.84;1828.25;5000
2208.37;2208.44;2209.97;6000
2555.69;2554.18;2554.11;7000
2882.76;2889.64;2883.39;8000
3271.47;3268.72;3273.24;9000
3663.72;3662.66;3662.93;10000
4043.75;4044.95;4048.08;11000
4416.69;4413.69;4417.27;12000
4763.57;4765.34;4765.43;13000
5102.36;5107.31;5105.75;14000
5438.16;5441.72;5441.82;15000
