queries_positive;queries_negative;queries_total;len_T
3576.89;3585.87;3584.05;5000
4340.75;4346.75;4343.16;6000
4993.85;4994.17;4989.06;7000
5607.63;5608.71;5608.19;8000
6371.61;6375.58;6381.15;9000
7161.11;7159.92;7168.82;10000
7929.78;7923.29;7930.36;11000
8685.51;8694.69;8687.63;12000
9356.32;9358.81;9366.97;13000
9979.35;9981.03;9971.98;14000
10597.11;10610.01;10599.19;15000
