queries_positive;queries_negative;queries_total;len_T
3;3;3;5000
3;3;3;6000
3;3;3;7000
3;3;3;8000
3;3;3;9000
3;3;3;10000
3;3;3;11000
3;3;3;12000
3;3;3;13000
3;3;3;14000
3;3;3;15000
