queries_positive;queries_negative;queries_total;len_T
2732.37;2734.68;2731.08;5000
3303.24;3300.85;3301.38;6000
3803.61;3802.68;3810.81;7000
4282.77;4289.89;4289.58;8000
4861.91;4861.29;4870.69;9000
5459.87;5459.5;5464.69;10000
6035.43;6044.71;6033.15;11000
6590.83;6603.95;6596.62;12000
