PSU;len_T
199445826.94;500000
216950432.18;600000
244569404.08;700000
252759543.86;800000
269414700.42;900000
314568655.94;1000000
302765976.4;1100000
322872157.7;1200000
344313840.8;1300000
363500397.62;1400000
375908703.32;1500000
