num_queries_positive;num_queries_negative;num_queries_total;max_V_match_fraction
3;3;3;0.0
1829.08;1830.84;1828.25;0.1
2734.4;2730.71;2728.3;0.2
3279.67;3277.97;3275.49;0.3
3574.95;3579.97;3584.34;0.4
3682.63;3681.32;3680.39;0.5
3576.89;3585.87;3584.05;0.6
3282.04;3282.48;3286.07;0.7
2732.37;2734.68;2731.08;0.8
1831.37;1829.84;1834.42;0.9
3;3;3;1.0
