num_queries_positive;num_queries_negative;num_queries_total;max_V_match_fraction
3;3;3;0.0
2882.76;2889.64;2883.39;0.1
4283.56;4291.95;4292.81;0.2
5141.54;5138.74;5148.16;0.3
5615.05;5609.25;5612.6;0.4
5752.93;5757.4;5755.17;0.5
5607.63;5608.71;5608.19;0.6
5141.52;5133.17;5138.1;0.7
4282.77;4289.89;4289.58;0.8
2882.78;2884.28;2881.3;0.9
3;3;3;1.0
