num_queries_positive;num_queries_negative;num_queries_total;max_V_match_fraction
3;3;3;0.0
2208.37;2208.44;2209.97;0.1
3301.24;3303.42;3301.88;0.2
3977.02;3979.54;3971.99;0.3
4345.53;4351.78;4340.55;0.4
4470.62;4466.73;4462.71;0.5
4340.75;4346.75;4343.16;0.6
3975.02;3968.69;3969.34;0.7
3303.24;3300.85;3301.38;0.8
2207.19;2205.7;2208.39;0.9
3;3;3;1.0
